reference	temperature	pressure	country	region	data.group	cumulative
Brandon and Calderwood, 1990	190	0.3	USA	Olympic Peninsula	CircumPacific	0.003
Aoki et al., 2008	255	0.425	Japan	Shimanto	CircumPacific	0.006
Fagereng and Cooper, 2010	300	0.5	New Zealand	Otago Schist	CircumPacific	0.008
Grove and Bebout, 1995	250	0.5	USA	Catalina Schist	CircumPacific	0.011
Dachs and Proyer, 2001	400	0.5	Austria	Tauern Window, Grossglockner	Alps	0.014
Ramirez-Sanchez et al. 2005	350	0.52	Chile	Chonos Metamorphic Complex	CircumPacific	0.017
Willner et al. 2000	265	0.525	Chile	Chonos Archipelago	CircumPacific	0.02
Trommsdorf, 2000	450	0.55	Switzerland/Italy	Ligurian Alps	Alps	0.023
Topuz et al., 2006	200	0.55	Turkey	Tavsanli Zone	T-I-G	0.025
Abbott et al., 2003	328	0.565	Jamaica	Blue Mountain inlier	CircumAtlantic	0.028
Ave Lallemant, 1997	525	0.6	Venezuela	Araya Peninsula	CircumAtlantic	0.031
Escuder-Viruete et al. 2011	300	0.6	Dominican Republic	Samana Peninsula	CircumAtlantic	0.034
Smith et al., 1999	450	0.6	Venezuela	Villa de Cura	CircumAtlantic	0.037
Korikovsky and Karamata, 2011	345	0.6	Serbia	Fruska Gora Serbia Blueschist	Alps	0.04
Nakajima et al. 1990	300	0.6	China	Aksu	Cont_Asia	0.042
Nakajima et al. 1990	350	0.6	China	Aksu	Cont_Asia	0.045
Patrick, 1995	370	0.65	USA	Brooks Range Central Belt	CircumPacific	0.048
Tsujimori and Liou, 2007	280	0.65	Japan	Renge Metamorphic Rocks, Chugoku Mountains	CircumPacific	0.051
Smith et al., 1999	337.5	0.65	Venezuela	Villa de Cura	CircumAtlantic	0.054
Schermer, 1990	275	0.65	Greece	Mt Olympus	T-I-G	0.056
Torabi, 2011	375	0.65	Iran	Anarak region	T-I-G	0.059
Willner et al., 2001	320	0.7	Chile	Bahia Mansa	CircumPacific	0.062
Hoinkes et al., 1999	350	0.7	Switzerland/Austria/Italy	Reichnitz Window blueschist	Alps	0.065
Topuz et al., 2008	320	0.72	Turkey	Thrace	T-I-G	0.068
Vitale Brovarone and Agard 2013	340	0.75	New Caledonia	Diahot Terrane	CircumPacific	0.071
Escuder-Viruete et al. 2011	320	0.75	Dominican Republic	Samana Peninsula	CircumAtlantic	0.073
Goncalves et al., 2000	320	0.75	Dominican Republic	Samana Peninsula	CircumAtlantic	0.076
Harlow et al., 2011	250	0.75	Guatemala	La Ensenada	CircumAtlantic	0.079
Clarke et al., 1997	400	0.8	New Caledonia	Pam Peninsula	CircumPacific	0.082
Mori et al., 2007	440	0.8	Japan	Nishisonogi	CircumPacific	0.085
